code_commune,commune_labellisee,nom,code_departement,departement,fleurs,geo_point,url,adresse_ligne3,adresse_ligne4,adresse_ligne5,adresses_codepostal,adresses_commune,
93064,Rosny-sous-Bois,Rosny-sous-Bois,93,Seine-Saint-Denis,3,48.8721036,2.4883129,http://www.rosny93.fr,,20 rue Claude-Pernès,,93111,Rosny-sous-Bois Cedex
94065,Rungis,Rungis,94,Val-de-Marne,4,48.7486991882,2.34744000435,http://www.rungis.fr,,5 rue Sainte-Geneviève,,94150,Rungis
94078,Villeneuve-Saint-Georges,Villeneuve-Saint-Georges,94,Val-de-Marne,2,48.7293675,2.4471817,http://www.villeneuve-saint-georges.fr,,20 place Pierre-Sémard,,94190,Villeneuve-Saint-Georges
95127,Cergy,Cergy,95,Val-d'Oise,3,49.035617,2.060325,http://www.ville-cergy.fr,,3 place de l'Olympe-de-Gouges,,95801,Cergy Cedex
95527,Roissy-en-France,Roissy-en-France,95,Val-d'Oise,2,49.0032992,2.5175248,http://www.roissyenfrance.fr,,40 avenue Charles-de-Gaulle,,95700,Roissy-en-France
95598,Soisy-sous-Montmorency,Soisy-sous-Montmorency,95,Val-d'Oise,4,48.9859008789,2.3000600338,http://www.soisy-sous-montmorency.fr,Hôtel de Ville,2 avenue du Général-de-Gaulle,BP 50029,95232,Soisy-sous-Montmorency Cedex
95680,Villiers-le-Bel,Villiers-le-Bel,95,Val-d'Oise,2,49.0014803,2.3846182,http://www.ville-villiers-le-bel.fr,,32 rue de la République,,95400,Villiers-le-Bel
77067,Cesson,Cesson,77,Seine-et-Marne,2,48.5626296997,2.60323596001,https://www.ville-cesson.fr/,,8 route de Saint-Leu,BP 35,77245,Cesson Cedex
77284,Meaux,Meaux,77,Seine-et-Marne,4,48.9587474,2.877579,https://www.ville-meaux.fr/,,Place de l'Hôtel-de-Ville,BP 227,77107,Meaux Cedex
77350,Ozoir-la-Ferrière,Ozoir-la-Ferrière,77,Seine-et-Marne,3,48.763827,2.671739,http://www.mairie-ozoir-la-ferriere.fr/,,45 avenue du Général-de-Gaulle,,77834,Ozoir-la-Ferrière
77458,Souppes-sur-Loing,Souppes-sur-Loing,77,Seine-et-Marne,2,48.1831016541,2.73599004745,http://www.souppes.fr/,,19 avenue du Maréchal-Leclerc,,77460,Souppes-sur-Loing
78123,Carrières-sous-Poissy,Carrières-sous-Poissy,78,Yvelines,2,48.9508666992,2.03869199753,http://www.carrieres-sous-poissy.fr,,1 place Saint-Blaise,,78955,Carrières-sous-Poissy
78126,La Celle-Saint-Cloud,La Celle-Saint-Cloud,78,Yvelines,3,48.8480987549,2.13683009148,http://www.lacellesaintcloud.fr,,8 E avenue Charles-de-Gaulle,,78170,La Celle-Saint-Cloud
78551,Saint-Germain-en-Laye,Saint-Germain-en-Laye,78,Yvelines,3,48.89984,2.084025,http://www.saintgermainenlaye.fr,Centre Administratif,86-88 rue Léon-Desoyer,BP 10101,78101,Saint-Germain-en-Laye Cedex
78686,Viroflay,Viroflay,78,Yvelines,3,48.7994995117,2.17297005653,http://www.ville-viroflay.fr,,2 place du Général-de-Gaulle,BP 16,78221,Viroflay Cedex
91195,Dannemois,Dannemois,91,Essonne,2,48.451738,2.4738332,http://www.dannemois.fr,,1 rue de la Messe,,91490,Dannemois
91521,Ris-Orangis,Ris-Orangis,91,Essonne,3,48.653629303,2.41588807106,http://www.ville-ris-orangis.fr,,Place du Général-de-Gaulle,BP 39,91130,Ris-Orangis
91648,Vert-le-Grand,Vert-le-Grand,91,Essonne,3,48.5732292,2.3585535,http://www.vertlegrand.com,,7 place de la Mairie,,91810,Vert-le-Grand
91661,Villebon-sur-Yvette,Villebon-sur-Yvette,91,Essonne,3,48.7000999451,2.2272400856,http://www.villebon-sur-yvette.fr,,Place Gérard-Nevers,,91140,Villebon-sur-Yvette
91687,Viry-Châtillon,Viry-Châtillon,91,Essonne,3,48.6706586,2.375213,http://www.viry-chatillon.fr,Hôtel de Ville,1 place de la République,BP 43,91178,Viry-Châtillon
92044,Levallois-Perret,Levallois-Perret,92,Hauts-de-Seine,4,48.8931616,2.2886643,http://www.ville-levallois.fr,,1 place de la République,,92300,Levallois
92060,Le Plessis-Robinson,Le Plessis-Robinson,92,Hauts-de-Seine,4,48.7823982239,2.26172995567,http://www.plessis-robinson.com,,3 place de la Mairie,,92350,Le Plessis-Robinson
93029,Drancy,Drancy,93,Seine-Saint-Denis,1,48.9341011047,2.49926996231,https://www.drancy.fr,,Place de l'Hôtel-de-Ville,BP 76,93701,Drancy Cedex
93079,Villetaneuse,Villetaneuse,93,Seine-Saint-Denis,3,48.961176,2.343861,http://www.mairie-villetaneuse.frcontact,,1 place de l'Hôtel-de-Ville,,93430,Villetaneuse
94018,Charenton-le-Pont,Charenton-le-Pont,94,Val-de-Marne,3,48.8195991516,2.41581988335,http://www.charentonlepont.fr,,48 rue de Paris,,94220,Charenton-le-Pont
94076,Villejuif,Villejuif,94,Val-de-Marne,1,48.7949315,2.3662483,http://www.villejuif.fr,,1 esplanade Pierre-Yves-Cosnier,,94807,Villejuif Cedex
94080,Vincennes,Vincennes,94,Val-de-Marne,3,48.8477465,2.4403082,http://www.vincennes.fr,,53 bis rue de Fontenay,BP 123,94304,Vincennes Cedex
